"name","country","position","date_of_birth","age","caps","goals_conceded","senior_debut_date","senior_debut_match","senior_debut_match_location","last_appearance_date","last_appearance_match","last_appearance_location","club","league","height","weight","id","team_id","detailed_position","goals"
"Ludwig Augustinsson","Sweden","Defender",1994-04-21,22,3,NA,2015-01-15,"Sweden 2-0 Ivory Coast",NA,2016-06-05,"Sweden 3-0 Wales","Solna","København","DEN",181,74,"250024701","127","Full-back",0
"Emil Forsberg","Sweden","Midfield",1991-10-23,24,19,NA,2014-01-17,"Moldova 1-2 Sweden",NA,2016-06-17,"Italy 1-0 Sweden","Toulouse","Leipzig","GER",179,78,"250013469","127","Winger",2
"Sebastian Larsson","Sweden","Midfield",1985-06-06,31,86,NA,2008-02-06,"Turkey 0-0 Sweden","Istanbul",2016-06-17,"Italy 1-0 Sweden","Toulouse","Sunderland","ENG",178,70,"62487","127","Winger",6
"Albin Ekdal","Sweden","Midfield",1989-07-28,26,24,NA,2011-08-10,"Ukraine 0-1 Sweden","Kharkiv",2016-06-17,"Italy 1-0 Sweden","Toulouse","Hamburg","GER",186,75,"102351","127","Defensive midfielder",0
"Kim Källström","Sweden","Midfield",1982-08-24,33,130,NA,2001-02-01,"Sweden 0-1 Finland","Jonkoping",2016-06-17,"Italy 1-0 Sweden","Toulouse","Grasshoppers","SUI",185,87,"43841","127","Defensive midfielder",16
"Oscar Hiljemark","Sweden","Midfield",1992-06-28,23,9,NA,2012-01-18,"Bahrain 0-2 Sweden",NA,2016-05-30,"Sweden 0-0 Slovenia","Malmo","Palermo","ITA",184,75,"250020212","127","Attacking midfielder",1
"Pontus Wernbloom","Sweden","Midfield",1986-06-25,29,50,NA,2007-01-18,"Ecuador 2-1 Sweden",NA,2016-05-30,"Sweden 0-0 Slovenia","Malmo","CSKA Moskva","RUS",187,85,"99720","127","Defensive midfielder",2
"Oscar Lewicki","Sweden","Midfield",1992-07-14,23,11,NA,2014-01-17,"Moldova 1-2 Sweden",NA,2016-06-17,"Italy 1-0 Sweden","Toulouse","Malmö","SWE",171,68,"250005568","127","Defensive midfielder",0
"Jimmy Durmaz","Sweden","Midfield",1989-03-22,27,31,NA,2012-01-18,"Bahrain 0-2 Sweden",NA,2016-06-17,"Italy 1-0 Sweden","Toulouse","Olympiacos","GRE",180,69,"250008395","127","Winger",1
"Erkan Zengin","Sweden","Midfield",1985-08-05,30,20,NA,2013-03-26,"Slovakia 0-0 Sweden",NA,2016-05-30,"Sweden 0-0 Slovenia","Malmo","Trabzonspor","TUR",180,72,"95117","127","Winger",3
"Zlatan Ibrahimović","Sweden","Forward",1981-10-03,34,115,NA,2001-01-31,"Sweden 0-0 Faroe Islands","Vaxjo",2016-06-17,"Italy 1-0 Sweden","Toulouse","Paris","FRA",195,95,"59217","127","Forward",62
"Marcus Berg","Sweden","Forward",1986-08-17,29,39,NA,2008-02-06,"Turkey 0-0 Sweden","Istanbul",2016-06-17,"Italy 1-0 Sweden","Toulouse","Panathinaikos","GRE",184,75,"97688","127","Forward",9
"Emir Kujovic","Sweden","Forward",1988-06-22,27,2,NA,2016-03-24,"Turkey 2-1 Sweden","Antalya",2016-06-05,"Sweden 3-0 Wales","Solna","Norrköping","SWE",194,87,"250035043","127","Forward",0
"John Guidetti","Sweden","Forward",1992-04-15,24,11,NA,2012-02-29,"Croatia 1-3 Sweden",NA,2016-06-17,"Italy 1-0 Sweden","Toulouse","Celta","ESP",185,79,"250005577","127","Forward",1
"Keiren Westwood","Republic of Ireland","Goalkeeper",1984-10-23,31,17,11,2009-05-29,"Republic of Ireland 1-1 Nigeria","London",2015-06-07,"Republic of Ireland 0-0 England",NA,"Sheff. Wednesday","ENG",187,92,"250012197","64","Goalkeeper",NA
"Shay Given","Republic of Ireland","Goalkeeper",1976-04-20,40,133,82,1996-03-27,"Republic of Ireland 0-2 Russia","Dublin",2016-05-31,"Republic of Ireland 1-2 Belarus","Cork","Stoke","ENG",185,84,"17865","64","Goalkeeper",NA
"Darren Randolph","Republic of Ireland","Goalkeeper",1987-05-12,29,11,11,2012-09-11,"Republic of Ireland 4-1 Oman","London",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","West Ham","ENG",188,98,"74702","64","Goalkeeper",NA
"Seamus Coleman","Republic of Ireland","Defender",1988-10-11,27,36,NA,2011-02-08,"Republic of Ireland 3-0 Wales",NA,2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Everton","ENG",177,67,"1909700","64","Full-back",0
"Ciaran Clark","Republic of Ireland","Defender",1989-09-26,26,19,NA,2011-02-08,"Republic of Ireland 3-0 Wales",NA,2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Aston Villa","ENG",188,76,"103871","64","Central defender",2
"John O'Shea","Republic of Ireland","Defender",1981-04-30,35,112,NA,2001-08-15,"Republic of Ireland 2-2 Croatia","Dublin",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Sunderland","ENG",191,75,"43465","64","Central defender",3
"Richard Keogh","Republic of Ireland","Defender",1986-08-11,29,12,NA,2013-02-06,"Republic of Ireland 2-0 Poland","Dublin",2016-05-31,"Republic of Ireland 1-2 Belarus","Cork","Derby","ENG",188,87,"99235","64","Central defender",1
"Shane Duffy","Republic of Ireland","Defender",1992-01-01,24,3,NA,2014-06-07,"Costa Rica 1-1 Republic of Ireland",NA,2016-05-27,"Republic of Ireland 1-1 Netherlands","Dublin","Blackburn","ENG",193,76,"1909229","64","Central defender",0
"Cyrus Christie","Republic of Ireland","Defender",1992-09-30,23,5,NA,2014-11-18,"Republic of Ireland 4-1 USA","Dublin",2016-05-31,"Republic of Ireland 1-2 Belarus","Cork","Derby","ENG",188,78,"250080524","64","Full-back",1
"Stephen Ward","Republic of Ireland","Defender",1985-08-20,30,33,NA,2011-05-24,"Republic of Ireland 5-0 Northern Ireland",NA,2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Burnley","ENG",184,72,"70972","64","Full-back",3
"Glenn Whelan","Republic of Ireland","Midfield",1984-01-13,32,72,NA,2008-05-24,"Republic of Ireland 1-1 Serbia","Dublin",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Stoke","ENG",180,79,"58002","64","Central midfielder",2
"Aiden McGeady","Republic of Ireland","Midfield",1986-04-04,30,83,NA,2004-06-02,"Republic of Ireland 1-0 Jamaica","London",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Sheff. Wednesday","ENG",177,71,"68674","64","Winger",5
"James McCarthy","Republic of Ireland","Midfield",1990-11-12,25,37,NA,2010-03-02,"Republic of Ireland 0-2 Brazil","London",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Everton","ENG",180,72,"1901607","64","Central midfielder",0
"James McClean","Republic of Ireland","Midfield",1989-04-22,27,40,NA,2012-02-29,"Republic of Ireland 1-1 Czech Republic",NA,2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","West Brom","ENG",180,70,"250003555","64","Winger",5
"Jeff Hendrick","Republic of Ireland","Midfield",1992-01-31,24,23,NA,2013-02-06,"Republic of Ireland 2-0 Poland","Dublin",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Derby","ENG",185,79,"250005036","64","Central midfielder",0
"David Meyler","Republic of Ireland","Midfield",1989-05-29,27,16,NA,2012-09-11,"Republic of Ireland 4-1 Oman","London",2016-05-31,"Republic of Ireland 1-2 Belarus","Cork","Hull","ENG",189,91,"250001845","64","Central midfielder",0
"Robbie Brady","Republic of Ireland","Midfield",1992-01-14,24,25,NA,2012-09-11,"Republic of Ireland 4-1 Oman","London",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Norwich","ENG",175,69,"1909047","64","Winger",4
"Wes Hoolahan","Republic of Ireland","Midfield",1982-05-20,34,32,NA,2008-05-29,"Republic of Ireland 1-0 Colombia","London",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Norwich","ENG",168,71,"60868","64","Attacking midfielder",3
"Stephen Quinn","Republic of Ireland","Midfield",1986-04-01,30,15,NA,2013-06-02,"Republic of Ireland 4-0 Georgia","Dublin",2016-05-27,"Republic of Ireland 1-1 Netherlands","Dublin","Reading","ENG",168,60,"1900766","64","Central midfielder",0
"Shane Long","Republic of Ireland","Forward",1987-01-22,29,65,NA,2007-02-07,"San Marino 1-2 Republic of Ireland","Serravalle",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Southampton","ENG",180,81,"99315","64","Forward",16
"Robbie Keane","Republic of Ireland","Forward",1980-07-08,35,144,NA,1998-03-25,"Czech Republic 2-1 Republic of Ireland","Olomouc",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","LA Galaxy","USA",175,72,"31544","64","Forward",67
"Jon Walters","Republic of Ireland","Forward",1983-09-20,32,39,NA,2010-11-17,"Republic of Ireland 1-2 Norway",NA,2016-06-13,"Republic of Ireland 1-1 Sweden","Saint-Denis","Stoke","ENG",183,79,"74101","64","Winger",10
"Daryl Murphy","Republic of Ireland","Forward",1983-03-15,33,20,NA,2007-05-23,"Ecuador 1-1 Republic of Ireland","New Jersey",2016-05-31,"Republic of Ireland 1-2 Belarus","Cork","Ipswich","ENG",191,88,"95639","64","Forward",0
"Gábor Király","Hungary","Goalkeeper",1976-04-01,40,104,77,1998-03-25,"Austria 2-3 Hungary","Vienna",2016-06-18,"Iceland 1-1 Hungary","Marseille","Haladás","HUN",190,85,"15457","57","Goalkeeper",NA
"Dénes Dibusz","Hungary","Goalkeeper",1990-11-16,25,4,3,2014-10-14,"Faroe Islands 0-1 Hungary","Torshavn",2016-03-26,"Hungary 1-1 Croatia","Budapest","Ferencváros","HUN",188,81,"250040465","57","Goalkeeper",NA
"Péter Gulácsi","Hungary","Goalkeeper",1990-05-06,26,3,4,2014-05-22,"Hungary 2-2 Denmark","Debrecen",2016-05-20,"Hungary 0-0 Ivory Coast","Budapest","Leipzig","GER",190,83,"102420","57","Goalkeeper",NA
"Ádám Lang","Hungary","Defender",1993-01-17,23,13,NA,2014-05-22,"Hungary 2-2 Denmark","Debrecen",2016-06-18,"Iceland 1-1 Hungary","Marseille","Videoton","HUN",185,77,"250027818","57","Central defender",0
"Mihály Korhut","Hungary","Defender",1988-12-01,27,5,NA,2014-05-22,"Hungary 2-2 Denmark","Debrecen",2016-03-26,"Hungary 1-1 Croatia","Budapest","Debrecen","HUN",181,76,"250010491","57","Full-back",0
"Tamás Kádár","Hungary","Defender",1990-03-14,26,31,NA,2010-11-17,"Hungary 2-0 Lithuania",NA,2016-06-18,"Iceland 1-1 Hungary","Marseille","Lech","POL",188,79,"107921","57","Full-back",0
"Attila Fiola","Hungary","Defender",1990-02-17,26,16,NA,2014-10-14,"Faroe Islands 0-1 Hungary","Torshavn",2016-06-14,"Austria 0-2 Hungary","Bordeaux","Puskás Akadémia","HUN",182,70,"250029650","57","Full-back",0
"Ádám Pintér","Hungary","Defender",1988-06-12,28,21,NA,2010-10-12,"Finland 1-2 Hungary","Helsinki",2016-06-14,"Austria 0-2 Hungary","Bordeaux","Ferencváros","HUN",190,76,"104594","57","Central defender",0
"Richárd Guzmics","Hungary","Defender",1987-04-16,29,16,NA,2012-11-14,"Hungary 0-2 Norway",NA,2016-06-18,"Iceland 1-1 Hungary","Marseille","Wisła","POL",190,80,"103078","57","Central defender",1
"Barnabás Bese","Hungary","Defender",1994-05-06,22,1,NA,2016-06-04,"Germany 2-0 Hungary","Gelsenkirchen",2016-06-04,"Germany 2-0 Hungary","Gelsenkirchen","MTK","HUN",188,84,"250022881","57","Full-back",0
"Roland Juhász","Hungary","Defender",1983-07-01,32,92,NA,2004-04-25,"Hungary 3-2 Japan","Zalaegerszeg",2016-06-18,"Iceland 1-1 Hungary","Marseille","Videoton","HUN",194,96,"48984","57","Central defender",6
"Ákos Elek","Hungary","Midfield",1988-07-21,27,38,NA,2010-06-05,"Netherlands 6-1 Hungary",NA,2016-03-26,"Hungary 1-1 Croatia","Budapest","Diósgyőr","HUN",193,91,"250014594","57","Defensive midfielder",1
"Ádám Nagy","Hungary","Midfield",1995-06-17,21,10,NA,2015-09-07,"Northern Ireland 1-1 Hungary","Belfast",2016-06-18,"Iceland 1-1 Hungary","Marseille","Ferencváros","HUN",178,74,"250083472","57","Defensive midfielder",0
"Gergő Lovrencsics","Hungary","Midfield",1988-09-01,27,12,NA,2013-06-06,"Hungary 1-0 Kuwait","Gyor",2016-06-04,"Germany 2-0 Hungary","Gelsenkirchen","Lech","POL",177,79,"250052596","57","Full-back",1
"László Kleinheisler","Hungary","Midfield",1994-04-08,22,7,NA,2015-11-12,"Norway 0-1 Hungary","Oslo",2016-06-18,"Iceland 1-1 Hungary","Marseille","Bremen","GER",173,70,"250023225","57","Attacking midfielder",1
"Zoltán Stieber","Hungary","Midfield",1988-10-16,27,14,NA,2011-09-02,"Hungary 2-1 Sweden","Budapest",2016-06-18,"Iceland 1-1 Hungary","Marseille","Nürnberg","GER",175,67,"108988","57","Attacking midfielder",3
"Balázs Dzsudzsák","Hungary","Forward",1986-12-23,29,79,NA,2007-06-02,"Greece 2-0 Hungary","Heraklion",2016-06-18,"Iceland 1-1 Hungary","Marseille","Bursaspor","TUR",179,72,"69822","57","Forward",18
"Ádám Szalai","Hungary","Forward",1987-12-09,28,33,NA,2009-02-11,"Israel 1-0 Hungary","Ramat Gan",2016-06-18,"Iceland 1-1 Hungary","Marseille","Hannover","GER",193,91,"73865","57","Forward",9
"Zoltán Gera","Hungary","Forward",1979-04-22,37,90,NA,2002-02-13,"Switzerland 2-1 Hungary","Limassol",2016-06-18,"Iceland 1-1 Hungary","Marseille","Ferencváros","HUN",183,75,"55986","57","Defensive midfielder",24
"Krisztián Németh","Hungary","Forward",1989-01-05,27,24,NA,2010-05-29,"Hungary 0-3 Germany","Budapest",2016-06-14,"Austria 0-2 Hungary","Bordeaux","Al-Gharafa","QAT",180,74,"102438","57","Forward",3
"Dániel Böde","Hungary","Forward",1986-10-24,29,13,NA,2013-02-06,"Belarus 1-1 Hungary",NA,2016-06-18,"Iceland 1-1 Hungary","Marseille","Ferencváros","HUN",185,77,"250029640","57","Forward",4
"Nemanja Nikolić","Hungary","Forward",1987-12-31,28,19,NA,2013-10-11,"Netherlands 8-1 Hungary","Amsterdam",2016-06-18,"Iceland 1-1 Hungary","Marseille","Legia","POL",180,80,"250019995","57","Forward",3
"Tamás Priskin","Hungary","Forward",1986-09-27,29,57,NA,2005-08-17,"Hungary 1-2 Argentina","Budapest",2016-06-18,"Iceland 1-1 Hungary","Marseille","Slovan Bratislava","SVK",189,90,"70682","57","Forward",16
"Hannes Halldórsson","Iceland","Goalkeeper",1984-04-27,32,35,38,2011-09-06,"Iceland 1-0 Cyprus","Reykjavik",2016-06-18,"Iceland 1-1 Hungary","Marseille","Bodø/Glimt","NOR",193,87,"106184","58","Goalkeeper",NA
"Ögmundur Kristinsson","Iceland","Goalkeeper",1989-06-19,27,11,20,2014-06-04,"Iceland 1-0 Estonia","Reykjavik",2016-06-01,"Norway 3-2 Iceland","Oslo","Hammarby","SWE",192,89,"1909962","58","Goalkeeper",NA
"Ingvar Jónsson","Iceland","Goalkeeper",1989-10-18,26,5,6,2014-11-12,"Belgium 3-1 Iceland",NA,2016-06-01,"Norway 3-2 Iceland","Oslo","Sandefjord","NOR",188,82,"1910000","58","Goalkeeper",NA
"Birkir Sævarsson","Iceland","Defender",1984-11-11,31,59,NA,2007-06-02,"Iceland 1-1 Liechtenstein","Reykjavik",2016-06-18,"Iceland 1-1 Hungary","Marseille","Hammarby","SWE",187,81,"104623","58","Full-back",1
"Haukur Heidar Hauksson","Iceland","Defender",1991-09-01,24,7,NA,2015-01-19,"Canada 1-1 Iceland",NA,2016-06-01,"Norway 3-2 Iceland","Oslo","AIK","SWE",187,79,"250013209","58","",0
"Hjörtur Hermannsson","Iceland","Defender",1995-02-08,21,3,NA,2016-01-31,"USA 3-2 Iceland","Los Angeles",2016-06-06,"Iceland 4-0 Liechtenstein","Reykjavik","Göteborg","SWE",189,81,"250023158","58","",0
"Sverrir Ingason","Iceland","Defender",1993-08-05,22,6,NA,2014-01-21,"Iceland 0-2 Sweden",NA,2016-06-06,"Iceland 4-0 Liechtenstein","Reykjavik","Lokeren","BEL",188,83,"250019892","58","",2
"Ragnar Sigurdsson","Iceland","Defender",1986-06-19,30,58,NA,2007-08-22,"Iceland 1-1 Canada","Reykjavik",2016-06-18,"Iceland 1-1 Hungary","Marseille","Krasnodar","RUS",187,77,"65714","58","Central defender",1
"Elmar Bjarnason","Iceland","Defender",1987-03-04,29,28,NA,2007-06-02,"Iceland 1-1 Liechtenstein","Reykjavik",2016-06-14,"Portugal 1-1 Iceland","Saint-Etienne","AGF","DEN",183,78,"73346","58","Defensive midfielder",0
"Hordur Magnússon","Iceland","Defender",1993-02-11,23,5,NA,2014-11-12,"Belgium 3-1 Iceland",NA,2016-06-06,"Iceland 4-0 Liechtenstein","Reykjavik","Cesena","ITA",190,81,"250012826","58","Full-back",0
"Arnor Ingvi Traustason","Iceland","Defender",1993-04-30,23,7,NA,2015-11-13,"Poland 4-2 Iceland",NA,2016-06-06,"Iceland 4-0 Liechtenstein","Reykjavik","Norrköping","SWE",183,74,"250012840","58","",3
"Ari Skúlason","Iceland","Defender",1987-05-14,29,40,NA,2009-11-10,"Iran 1-0 Iceland","Tehran",2016-06-18,"Iceland 1-1 Hungary","Marseille","OB","DEN",170,65,"73335","58","Full-back",0
"Birkir Bjarnason","Iceland","Midfield",1988-05-27,28,49,NA,2010-05-29,"Iceland 4-0 Andorra","Reykjavik",2016-06-18,"Iceland 1-1 Hungary","Marseille","Basel","SUI",182,75,"97142","58","Winger",7
"Gylfi Sigurdsson","Iceland","Midfield",1989-09-08,26,41,NA,2010-05-29,"Iceland 4-0 Andorra","Reykjavik",2016-06-18,"Iceland 1-1 Hungary","Marseille","Swansea","ENG",186,77,"102293","58","Attacking midfielder",14
"Kári Árnason","Iceland","Midfield",1982-10-13,33,49,NA,2005-03-30,"Italy 0-0 Iceland","Padova",2016-06-18,"Iceland 1-1 Hungary","Marseille","Malmö","SWE",190,79,"98970","58","Central defender",2
"Rúnar Már Sigurjónsson","Iceland","Midfield",1990-06-18,26,11,NA,2012-11-14,"Andorra 0-2 Iceland",NA,2016-06-06,"Iceland 4-0 Liechtenstein","Reykjavik","Sundsvall","SWE",178,78,"250005355","58","",1
"Aron Gunnarsson","Iceland","Midfield",1989-04-22,27,61,NA,2008-02-02,"Iceland 0-2 Belarus","Ta' Qali",2016-06-18,"Iceland 1-1 Hungary","Marseille","Cardiff","WAL",178,70,"102287","58","Central midfielder",2
"Emil Hallfredsson","Iceland","Midfield",1984-06-29,31,55,NA,2005-03-30,"Italy 0-0 Iceland","Padova",2016-06-18,"Iceland 1-1 Hungary","Marseille","Udinese","ITA",185,83,"57117","58","Winger",1
"Johann Gudmundsson","Iceland","Forward",1990-10-27,25,49,NA,2008-08-20,"Iceland 1-1 Azerbaijan","Reykjavik",2016-06-18,"Iceland 1-1 Hungary","Marseille","Charlton","ENG",178,72,"250003458","58","Winger",4
"Kolbeinn Sigthórsson","Iceland","Forward",1990-03-14,26,41,NA,2010-03-21,"Iceland 2-0 Faroe Islands","Kopavogur",2016-06-18,"Iceland 1-1 Hungary","Marseille","Nantes","FRA",185,70,"107782","58","Forward",20
"Alfred Finnbogason","Iceland","Forward",1989-02-01,27,36,NA,2010-03-21,"Iceland 2-0 Faroe Islands","Kopavogur",2016-06-18,"Iceland 1-1 Hungary","Marseille","Augsburg","GER",184,78,"250011522","58","Forward",8
"Jón Dadi Bödvarsson","Iceland","Forward",1992-05-25,24,23,NA,2012-11-14,"Andorra 0-2 Iceland",NA,2016-06-18,"Iceland 1-1 Hungary","Marseille","Kaiserslautern","GER",190,85,"250024873","58","Forward",1
"Eidur Gudjohnsen","Iceland","Forward",1978-09-15,37,87,NA,1996-04-24,"Estonia 0-3 Iceland","Tallinn",2016-06-18,"Iceland 1-1 Hungary","Marseille","Molde","NOR",185,82,"19878","58","Attacking midfielder",26
"Rui Patrício","Portugal","Goalkeeper",1988-02-15,28,47,44,2010-11-17,"Portugal 4-0 Spain","Lisbon",2016-06-18,"Portugal 0-0 Austria","Paris","Sporting CP","POR",190,84,"93443","110","Goalkeeper",NA
"Anthony Lopes","Portugal","Goalkeeper",1990-10-01,25,4,3,2015-03-31,"Portugal 0-2 Cape Verde Islands",NA,2016-05-29,"Portugal 3-0 Norway","Porto","Lyon","FRA",184,81,"1901643","110","Goalkeeper",NA
"Eduardo","Portugal","Goalkeeper",1982-09-19,33,35,14,2009-02-11,"Portugal 1-0 Finland","Faro-Loule",2014-06-26,"Portugal 2-1 Ghana","Brasilia","Dinamo Zagreb","CRO",188,89,"49116","110","Goalkeeper",NA
"Bruno Alves","Portugal","Defender",1981-11-27,34,85,NA,2007-06-05,"Kuwait 1-1 Portugal",NA,2016-06-02,"England 1-0 Portugal","London","Fenerbahçe","TUR",189,83,"64413","110","Central defender",10
"Pepe","Portugal","Defender",1983-02-26,33,73,NA,2007-11-21,"Portugal 0-0 Finland","Porto",2016-06-18,"Portugal 0-0 Austria","Paris","Real Madrid","ESP",188,81,"95417","110","Central defender",3
"José Fonte","Portugal","Defender",1983-12-22,32,12,NA,2014-11-18,"Portugal 1-0 Argentina","Manchester",2016-06-08,"Portugal 7-0 Estonia","Lisbon","Southampton","ENG",187,81,"101788","110","Central defender",0
"Raphael Guerreiro","Portugal","Defender",1993-12-22,22,9,NA,2014-11-14,"Portugal 1-0 Armenia","Faro-Loule",2016-06-18,"Portugal 0-0 Austria","Paris","Lorient","FRA",170,67,"250066156","110","Full-back",2
"Ricardo Carvalho","Portugal","Defender",1978-05-18,38,88,NA,2003-10-11,"Portugal 5-3 Albania","Lisbon",2016-06-18,"Portugal 0-0 Austria","Paris","Monaco","FRA",183,78,"31429","110","Central defender",6
"Eliseu","Portugal","Defender",1983-10-01,32,16,NA,2009-06-10,"Estonia 0-0 Portugal","Tallinn",2016-06-02,"England 1-0 Portugal","London","Benfica","POR",180,75,"65288","110","Full-back",1
"Cédric","Portugal","Defender",1991-08-31,24,11,NA,2014-10-11,"France 2-1 Portugal","Saint-Denis",2016-06-08,"Portugal 7-0 Estonia","Lisbon","Southampton","ENG",172,67,"1907940","110","Full-back",0
"João Moutinho","Portugal","Midfield",1986-09-08,29,86,NA,2005-08-17,"Portugal 2-0 Egypt","Ponta Delgada",2016-06-18,"Portugal 0-0 Austria","Paris","Monaco","FRA",171,61,"70098","110","Central midfielder",4
"João Mário","Portugal","Midfield",1993-01-19,23,13,NA,2014-10-11,"France 2-1 Portugal","Saint-Denis",2016-06-18,"Portugal 0-0 Austria","Paris","Sporting CP","POR",179,73,"250014109","110","Attacking midfielder",0
"Vieirinha","Portugal","Midfield",1986-01-24,30,24,NA,2013-03-22,"Israel 3-3 Portugal","Ramat Gan",2016-06-18,"Portugal 0-0 Austria","Paris","Wolfsburg","GER",172,73,"70099","110","Full-back",1
"Danilo","Portugal","Midfield",1991-09-09,24,13,NA,2015-03-31,"Portugal 0-2 Cape Verde Islands",NA,2016-06-14,"Portugal 1-1 Iceland","Saint-Etienne","Porto","POR",188,83,"250014528","110","Defensive midfielder",1
"William Carvalho","Portugal","Midfield",1992-04-07,24,21,NA,2013-11-19,"Sweden 2-3 Portugal","Solna",2016-06-18,"Portugal 0-0 Austria","Paris","Sporting CP","POR",187,83,"1907943","110","Defensive midfielder",0
"André Gomes","Portugal","Midfield",1993-07-30,22,10,NA,2014-09-07,"Portugal 0-1 Albania","Aveiro",2016-06-18,"Portugal 0-0 Austria","Paris","Valencia","ESP",188,84,"250017709","110","Central midfielder",0
"Renato Sanches","Portugal","Midfield",1997-08-18,18,6,NA,2016-03-25,"Portugal 0-1 Bulgaria","Leiria",2016-06-14,"Portugal 1-1 Iceland","Saint-Etienne","Benfica","POR",176,70,"250058218","110","Central midfielder",0
"Rafa Silva","Portugal","Midfield",1993-05-17,23,9,NA,2014-03-05,"Portugal 5-1 Cameroon","Leiria",2016-06-18,"Portugal 0-0 Austria","Paris","Braga","POR",170,63,"250063447","110","Attacking midfielder",0
"Adrien Silva","Portugal","Midfield",1989-03-15,27,9,NA,2014-11-18,"Portugal 1-0 Argentina","Manchester",2016-06-02,"England 1-0 Portugal","London","Sporting CP","POR",175,69,"103125","110","Defensive midfielder",0
"Cristiano Ronaldo","Portugal","Forward",1985-02-05,31,128,NA,2003-08-20,"Portugal 1-0 Kazakhstan","Chaves",2016-06-18,"Portugal 0-0 Austria","Paris","Real Madrid","ESP",185,80,"63706","110","Forward",58
"Éder","Portugal","Forward",1987-12-22,28,28,NA,2012-09-11,"Portugal 3-0 Azerbaijan","Braga",2016-06-18,"Portugal 0-0 Austria","Paris","LOSC","FRA",188,81,"250035096","110","Forward",3
"Nani","Portugal","Forward",1986-11-17,29,98,NA,2006-09-01,"Denmark 4-2 Portugal",NA,2016-06-18,"Portugal 0-0 Austria","Paris","Fenerbahçe","TUR",175,66,"101336","110","Winger",18
"Ricardo Quaresma","Portugal","Forward",1983-09-26,32,52,NA,2003-06-10,"Portugal 4-0 Bolivia","Lisbon",2016-06-18,"Portugal 0-0 Austria","Paris","Beşiktaş","TUR",175,67,"53749","110","Winger",7
"Robert Almer","Austria","Goalkeeper",1984-03-20,32,30,26,2011-11-15,"Ukraine 2-1 Austria","Lviv",2016-06-18,"Portugal 0-0 Austria","Paris","Austria Wien","AUT",194,88,"57064","8","Goalkeeper",NA
"Heinz Lindner","Austria","Goalkeeper",1990-07-17,25,8,8,2012-06-01,"Austria 3-2 Ukraine",NA,2016-05-31,"Austria 2-1 Malta","Klagenfurt","Frankfurt","GER",187,80,"250001968","8","Goalkeeper",NA
"Ramazan Özcan","Austria","Goalkeeper",1984-06-28,31,7,9,2008-08-20,"Austria 2-2 Italy","Nice",2016-05-31,"Austria 2-1 Malta","Klagenfurt","Ingolstadt","GER",187,84,"95569","8","Goalkeeper",NA
"Aleksandar Dragović","Austria","Defender",1991-03-06,25,48,NA,2009-06-06,"Serbia 1-0 Austria","Belgrade",2016-06-14,"Austria 0-2 Hungary","Bordeaux","Dynamo Kyiv","UKR",184,76,"1909713","8","Central defender",1
"Martin Hinteregger","Austria","Defender",1992-09-07,23,16,NA,2013-11-19,"Austria 1-0 USA","Vienna",2016-06-18,"Portugal 0-0 Austria","Paris","Mönchengladbach","GER",184,78,"250020234","8","Central defender",0
"Christian Fuchs","Austria","Defender",1986-04-07,30,77,NA,2006-05-23,"Austria 1-4 Croatia","Vienna",2016-06-18,"Portugal 0-0 Austria","Paris","Leicester","ENG",186,80,"67702","8","Full-back",1
"Markus Suttner","Austria","Defender",1987-04-16,29,16,NA,2012-02-29,"Austria 3-1 Finland",NA,2016-05-31,"Austria 2-1 Malta","Klagenfurt","Ingolstadt","GER",179,72,"74442","8","Full-back",0
"Sebastian Prödl","Austria","Defender",1987-06-21,28,58,NA,2007-05-30,"Austria 0-1 Scotland","Vienna",2016-06-18,"Portugal 0-0 Austria","Paris","Watford","ENG",194,85,"104538","8","Central defender",4
"Kevin Wimmer","Austria","Defender",1992-11-15,23,4,NA,2013-11-19,"Austria 1-0 USA","Vienna",2016-06-18,"Portugal 0-0 Austria","Paris","Tottenham","ENG",187,85,"250043066","8","Central defender",0
"Florian Klein","Austria","Defender",1986-11-17,29,38,NA,2010-05-19,"Austria 0-1 Croatia",NA,2016-06-14,"Austria 0-2 Hungary","Bordeaux","Stuttgart","GER",180,66,"97290","8","Full-back",0
"György Garics","Austria","Midfield",1984-03-08,32,41,NA,2006-10-06,"Liechtenstein 1-2 Austria","Vaduz",2016-03-29,"Austria 1-2 Turkey","Vienna","Darmstadt","GER",183,76,"72365","8","Full-back",2
