"jersey_no","name","tm_id","tm_position","date_of_birth","age","tm_team_id","tm_team","foot","tm_value","tm_currency","height","debut","country"
"17","Divock Origi","148368","Centre Forward",1995-04-18,21,"31","Liverpool FC","both",11000000,"€  ",186,2014-06-01,"Belgium"
"1","Rui Patrício","45026","Keeper",1988-02-15,28,"336","Sporting CP","left",14000000,"€  ",190,2010-11-17,"Portugal"
"12","Anthony Lopes","60561","Keeper",1990-10-01,25,"1041","Olympique Lyon","left",13000000,"€  ",184,2015-03-31,"Portugal"
"22","Eduardo","34159","Keeper",1982-09-19,33,"419","GNK Dinamo Zagreb","right",1500000,"€  ",188,2009-02-11,"Portugal"
"3","Pepe","14132","Centre Back",1983-02-26,33,"418","Real Madrid","right",6000000,"€  ",187,2007-11-21,"Portugal"
"4","José Fonte","33829","Centre Back",1983-12-22,32,"180","Southampton FC","right",5000000,"€  ",187,2014-11-18,"Portugal"
"2","Bruno Alves","13121","Centre Back",1981-11-27,34,"36","Fenerbahce SK","right",2000000,"€  ",189,2007-06-05,"Portugal"
"6","Ricardo Carvalho","9828","Centre Back",1978-05-18,38,"162","AS Monaco","right",500000,"€  ",182,2003-10-11,"Portugal"
"5","Raphaël Guerreiro","170986","Left-Back",1993-12-22,22,"1158","FC Lorient","left",9000000,"€  ",170,2014-11-14,"Portugal"
"19","Eliseu","14192","Left-Back",1983-10-01,32,"294","SL Benfica","left",2000000,"€  ",176,2009-06-10,"Portugal"
"21","Cédric Soares","112988","Right-Back",1991-08-31,24,"180","Southampton FC","right",11000000,"€  ",172,2014-10-11,"Portugal"
"11","Vieirinha","35247","Right-Back",1986-01-24,30,"82","VfL Wolfsburg","right",7000000,"€  ",172,2013-03-22,"Portugal"
"14","William Carvalho","100131","Defensive Midfield",1992-04-07,24,"336","Sporting CP","right",26000000,"€  ",187,2013-11-19,"Portugal"
"13","Danilo Pereira","141050","Defensive Midfield",1991-09-09,24,"720","FC Porto","right",12000000,"€  ",188,2015-03-31,"Portugal"
"15","André Gomes","221025","Central Midfield",1993-07-30,22,"1049","Valencia CF","right",20000000,"€  ",188,2014-09-07,"Portugal"
"16","Renato Sanches","258027","Central Midfield",1997-08-18,18,"294","SL Benfica","right",20000000,"€  ",176,2016-03-25,"Portugal"
"8","João Moutinho","29364","Central Midfield",1986-09-08,29,"162","AS Monaco","right",18000000,"€  ",171,2005-08-17,"Portugal"
"23","Adrien Silva","56810","Central Midfield",1989-03-15,27,"336","Sporting CP","right",18000000,"€  ",175,2014-11-18,"Portugal"
"18","Rafa Silva","238055","Left Wing",1993-05-17,23,"1075","SC Braga","right",15000000,"€  ",170,2014-02-05,"Portugal"
"10","João Mário","149729","Right Wing",1993-01-19,23,"336","Sporting CP","right",20000000,"€  ",179,2014-10-11,"Portugal"
"7","Cristiano Ronaldo","8198","Left Wing",1985-02-05,31,"418","Real Madrid","both",110000000,"€  ",185,2003-08-20,"Portugal"
"17","Nani","33706","Right Wing",1986-11-17,29,"36","Fenerbahce SK","both",14500000,"€  ",176,2006-09-01,"Portugal"
"20","Ricardo Quaresma","4188","Right Wing",1983-09-26,32,"114","Besiktas JK","right",4000000,"€  ",175,2003-06-10,"Portugal"
"9","Éder","84481","Centre Forward",1987-12-22,28,"1082","LOSC Lille","both",5000000,"€  ",190,2012-09-11,"Portugal"
"23","Danijel Subasic","27941","Keeper",1984-10-27,31,"162","AS Monaco","right",5000000,"€  ",191,2009-11-14,"Croatia"
"12","Lovre Kalinic","46405","Keeper",1990-04-03,26,"447","HNK Hajduk Split","right",3000000,"€  ",201,2014-11-12,"Croatia"
"1","Ivan Vargic","34553","Keeper",1987-03-15,29,"144","HNK Rijeka","right",1750000,"€  ",192,2014-11-12,"Croatia"
"5","Vedran Corluka","34393","Centre Back",1986-02-05,30,"932","Lokomotiv Moscow","right",9000000,"€  ",192,2006-08-16,"Croatia"
"6","Tin Jedvaj","206386","Centre Back",1995-11-28,20,"15","Bayer 04 Leverkusen","right",8000000,"€  ",184,2014-09-04,"Croatia"
"21","Domagoj Vida","46083","Centre Back",1989-04-29,27,"338","Dynamo Kyiv","right",7500000,"€  ",184,2010-05-23,"Croatia"
"13","Gordon Schildenfeld","38870","Centre Back",1985-03-18,31,"419","GNK Dinamo Zagreb","right",1500000,"€  ",191,2009-11-14,"Croatia"
"3","Ivan Strinic","39799","Left-Back",1987-07-17,28,"6195","SSC Napoli","left",4500000,"€  ",186,2010-05-19,"Croatia"
"2","Sime Vrsaljko","76061","Right-Back",1992-01-10,24,"6574","US Sassuolo","right",13000000,"€  ",183,2011-02-09,"Croatia"
"11","Darijo Srna","14942","Right-Back",1982-05-01,34,"660","Shakhtar Donetsk","right",4000000,"€  ",182,2002-11-20,"Croatia"
"19","Milan Badelj","40633","Defensive Midfield",1989-02-25,27,"430","ACF Fiorentina","right",8000000,"€  ",186,2010-05-23,"Croatia"
"7","Ivan Rakitic","32467","Central Midfield",1988-03-10,28,"131","FC Barcelona","right",50000000,"€  ",184,2007-09-08,"Croatia"
"10","Luka Modric","27992","Central Midfield",1985-09-09,30,"418","Real Madrid","both",50000000,"€  ",172,2006-03-01,"Croatia"
"8","Mateo Kovacic","51471","Central Midfield",1994-05-06,22,"418","Real Madrid","right",20000000,"€  ",178,2013-03-22,"Croatia"
"14","Marcelo Brozovic","156617","Central Midfield",1992-11-16,23,"46","Inter Milan","both",18000000,"€  ",181,2014-06-06,"Croatia"
"18","Ante Coric","96630","Attacking Midfield",1997-04-14,19,"419","GNK Dinamo Zagreb","both",7000000,"€  ",172,2016-05-27,"Croatia"
"15","Marko Rog","317482","Attacking Midfield",1995-07-19,20,"419","GNK Dinamo Zagreb","right",6000000,"€  ",180,2014-11-12,"Croatia"
"4","Ivan Perisic","42460","Left Wing",1989-02-02,27,"46","Inter Milan","both",21000000,"€  ",187,2011-03-26,"Croatia"
"20","Marko Pjaca","205940","Left Wing",1995-05-06,21,"419","GNK Dinamo Zagreb","right",8000000,"€  ",186,2014-09-04,"Croatia"
"17","Mario Mandzukic","34572","Centre Forward",1986-05-21,30,"506","Juventus FC","right",19000000,"€  ",190,2007-11-17,"Croatia"
"16","Nikola Kalinic","36371","Centre Forward",1988-01-05,28,"430","ACF Fiorentina","both",13500000,"€  ",187,2008-05-24,"Croatia"
"9","Andrej Kramaric","46580","Centre Forward",1991-06-19,25,"533","TSG 1899 Hoffenheim","right",7500000,"€  ",177,2014-09-04,"Croatia"
"22","Duje Cop","46415","Centre Forward",1990-02-01,26,"1084","Málaga CF","right",3000000,"€  ",187,2014-09-04,"Croatia"
"12","Salvatore Sirigu","25508","Keeper",1987-01-12,29,"583","Paris Saint-Germain","right",8000000,"€  ",192,2010-08-10,"Italy"
"13","Federico Marchetti","22318","Keeper",1983-02-07,33,"398","SS Lazio","left",4000000,"€  ",188,2009-06-06,"Italy"
"1","Gianluigi Buffon","5023","Keeper",1978-01-28,38,"506","Juventus FC","right",2000000,"€  ",192,1997-10-29,"Italy"
"19","Leonardo Bonucci","39983","Centre Back",1987-05-01,29,"506","Juventus FC","right",30000000,"€  ",190,2010-03-03,"Italy"
"3","Giorgio Chiellini","29260","Centre Back",1984-08-14,31,"506","Juventus FC","left",13000000,"€  ",187,2004-11-17,"Italy"
"5","Angelo Ogbonna","48002","Centre Back",1988-05-23,28,"379","West Ham United","left",9000000,"€  ",189,2011-11-11,"Italy"
"15","Andrea Barzagli","7109","Centre Back",1981-05-08,35,"506","Juventus FC","right",2000000,"€  ",187,2004-11-17,"Italy"
"4","Matteo Darmian","54906","Right-Back",1989-12-02,26,"985","Manchester United","right",15000000,"€  ",183,2014-05-31,"Italy"
"2","Mattia De Sciglio","88682","Right-Back",1992-10-20,23,"5","AC Milan","right",5000000,"€  ",183,2013-03-21,"Italy"
"16","Daniele De Rossi","5947","Defensive Midfield",1983-07-24,32,"12","AS Roma","both",5000000,"€  ",185,2004-09-04,"Italy"
"10","Thiago Motta","7602","Defensive Midfield",1982-08-28,33,"583","Paris Saint-Germain","left",3000000,"€  ",187,2011-02-09,"Italy"
"8","Alessandro Florenzi","130365","Central Midfield",1991-03-11,25,"12","AS Roma","right",20000000,"€  ",173,2012-11-14,"Italy"
"14","Stefano Sturaro","167859","Central Midfield",1993-03-09,23,"506","Juventus FC","right",11000000,"€  ",181,2016-06-06,"Italy"
"18","Marco Parolo","84545","Central Midfield",1985-01-25,31,"398","SS Lazio","both",6500000,"€  ",184,2011-03-29,"Italy"
"6","Antonio Candreva","25488","Right Wing",1987-02-28,29,"398","SS Lazio","right",23000000,"€  ",181,2009-11-14,"Italy"
"20","Lorenzo Insigne","133964","Left Wing",1991-06-04,25,"6195","SSC Napoli","right",25000000,"€  ",163,2012-09-11,"Italy"
"22","Stephan El Shaarawy","94529","Left Wing",1992-10-27,23,"12","AS Roma","right",17000000,"€  ",178,2012-08-15,"Italy"
"21","Federico Bernardeschi","197300","Right Wing",1994-02-16,22,"430","ACF Fiorentina","left",16000000,"€  ",183,2016-03-24,"Italy"
"23","Emanuele Giaccherini","84835","Right Wing",1985-05-05,31,"1025","Bologna FC 1909","right",4000000,"€  ",167,2012-06-10,"Italy"
"7","Simone Zaza","96828","Centre Forward",1991-06-25,24,"506","Juventus FC","left",12000000,"€  ",186,2014-09-04,"Italy"
"17","Éder","37418","Centre Forward",1986-11-15,29,"46","Inter Milan","right",12000000,"€  ",178,2015-03-28,"Italy"
"9","Graziano Pellè","29594","Centre Forward",1985-07-15,30,"180","Southampton FC","right",11000000,"€  ",194,2014-10-13,"Italy"
"11","Ciro Immobile","105521","Centre Forward",1990-02-20,26,"416","Torino FC","right",10000000,"€  ",185,2014-03-05,"Italy"
"1","Wojciech Szczesny","44058","Keeper",1990-04-18,26,"12","AS Roma","right",12000000,"€  ",196,2009-11-18,"Poland"
"22","Lukasz Fabianski","29692","Keeper",1985-04-18,31,"2288","Swansea City","right",7000000,"€  ",190,2006-03-28,"Poland"
"12","Artur Boruc","15220","Keeper",1980-02-20,36,"989","AFC Bournemouth","right",1000000,"€  ",193,2004-04-28,"Poland"
"15","Kamil Glik","46552","Centre Back",1988-02-03,28,"416","Torino FC","right",10000000,"€  ",190,2010-01-20,"Poland"
"18","Bartosz Salamon","71019","Centre Back",1991-05-01,25,"1390","Cagliari Calcio","right",2200000,"€  ",194,2013-03-26,"Poland"
"2","Michal Pazdan","54512","Centre Back",1987-09-21,28,"255","Legia Warszawa","both",1700000,"€  ",181,2007-12-15,"Poland"
"4","Thiago Cionek","79510","Centre Back",1986-04-21,30,"458","US Palermo","right",900000,"€  ",184,2014-05-13,"Poland"
"14","Jakub Wawrzyniak","35075","Left-Back",1983-07-07,32,"4000","Lechia Gdansk","left",350000,"€  ",188,2006-12-06,"Poland"
"20","Lukasz Piszczek","25727","Right-Back",1985-06-03,31,"16","Borussia Dortmund","right",6000000,"€  ",184,2007-02-03,"Poland"
"3","Artur Jedrzejczyk","42401","Right-Back",1987-11-04,28,"255","Legia Warszawa","right",2700000,"€  ",189,2010-07-26,"Poland"
"10","Grzegorz Krychowiak","45184","Defensive Midfield",1990-01-29,26,"368","Sevilla FC","right",30000000,"€  ",186,2008-12-14,"Poland"
"6","Tomasz Jodlowiec","27261","Defensive Midfield",1985-09-08,30,"255","Legia Warszawa","right",1500000,"€  ",189,2008-10-11,"Poland"
"19","Piotr Zielinski","181136","Central Midfield",1994-05-20,22,"749","FC Empoli","right",12000000,"€  ",180,2013-06-04,"Poland"
"8","Karol Linetty","225873","Central Midfield",1995-02-02,21,"238","Lech Poznan","right",3200000,"€  ",176,2014-01-18,"Poland"
"5","Krzysztof Maczynski","51337","Central Midfield",1987-05-23,29,"422","Wisla Kraków","right",1000000,"€  ",175,2013-11-15,"Poland"
"23","Filip Starzynski","199301","Attacking Midfield",1991-05-27,25,"168","Zaglebie Lubin","right",1000000,"€  ",184,2014-09-07,"Poland"
"21","Bartosz Kapustka","246579","Left Wing",1996-12-23,19,"5689","Cracovia Kraków","right",2500000,"€  ",179,2015-09-07,"Poland"
"17","Slawomir Peszko","16956","Left Wing",1985-02-19,31,"4000","Lechia Gdansk","right",400000,"€  ",173,2008-11-19,"Poland"
"16","Jakub Blaszczykowski","29835","Right Wing",1985-12-14,30,"430","ACF Fiorentina","right",7000000,"€  ",176,2006-03-28,"Poland"
