"team.value","capacity.value","coords.value","image.value","teamLabel.value","venueLabel.value","team_twitter.value"
"http://www.wikidata.org/entity/Q19498","39732","Point(-1.500555555 53.411388888)","http://commons.wikimedia.org/wiki/Special:FilePath/Hillsborough%20Stadium%20interior.jpg","Sheffield Wednesday F.C.","Hillsborough Stadium","swfc"
"http://www.wikidata.org/entity/Q19458","22546","Point(-2.230225 53.789064)","http://commons.wikimedia.org/wiki/Special:FilePath/Turf%20Moor%20panorama.jpg","Burnley F.C.","Turf Moor",NA
"http://www.wikidata.org/entity/Q8857","30044","Point(-4.426422 36.734092)","http://commons.wikimedia.org/wiki/Special:FilePath/Estado%20de%20la%20Rosaleda%20%28M%C3%A1laga%20C.F.%29.jpg","Málaga CF","La Rosaleda Stadium","MalagaCF"
"http://www.wikidata.org/entity/Q19518","45000","Point(1.433889 43.583056)","http://commons.wikimedia.org/wiki/Special:FilePath/StadiumToulouse3.JPG","Toulouse F.C.","Stadium Municipal","ToulouseFC"
"http://www.wikidata.org/entity/Q12297","22000","Point(-0.103611 39.944167)","http://commons.wikimedia.org/wiki/Special:FilePath/El%20Madrigal%20Stadium%2002.jpg","Villarreal Club de Fútbol","Estadio El Madrigal",NA
"http://www.wikidata.org/entity/Q1893","38279","Point(11.309722222 44.492222222)","http://commons.wikimedia.org/wiki/Special:FilePath/Prepartita%20bologna%20bari.jpg","Bologna F.C. 1909","Stadio Renato Dall'Ara",NA
"http://www.wikidata.org/entity/Q19444","30016","Point(-1.868188888 52.475702777)","http://commons.wikimedia.org/wiki/Special:FilePath/TiltonRoadEnd01.JPG","Birmingham City F.C.","St Andrew's",NA
"http://www.wikidata.org/entity/Q75684","30286","Point(-8.4308 41.5624)","http://commons.wikimedia.org/wiki/Special:FilePath/Estadio%20Braga.JPG","S.C. Braga","Estádio Municipal de Braga",NA
"http://www.wikidata.org/entity/Q18662","28050","Point(-3.203056 51.472778)","http://commons.wikimedia.org/wiki/Special:FilePath/Cardiff%20City%20Stadium%20Pitch.jpg","Cardiff City F.C.","Cardiff City Stadium",NA
"http://www.wikidata.org/entity/Q19487","20146","Point(-0.050833 51.485833)","http://commons.wikimedia.org/wiki/Special:FilePath/The%20New%20Den%20-%20geograph.org.uk%20-%201143517.jpg","Millwall F.C.","The Den",NA
"http://www.wikidata.org/entity/Q19462","27111","Point(0.036388888 51.486388888)","http://commons.wikimedia.org/wiki/Special:FilePath/The%20Valley%20North%20and%20West%20Stands.jpg","Charlton Athletic F.C.","The Valley",NA
"http://www.wikidata.org/entity/Q5794","40157","Point(-2.966388888 53.438888888)","http://commons.wikimedia.org/wiki/Special:FilePath/Goodisonview1.JPG","Everton F.C.","Goodison Park","Everton"
"http://www.wikidata.org/entity/Q10300","14708","Point(-3.658961 40.391944)","http://commons.wikimedia.org/wiki/Special:FilePath/Estadio%20de%20Vallecas.jpg","Rayo Vallecano","Campo de Fútbol de Vallecas",NA
"http://www.wikidata.org/entity/Q19467","26255","Point(-0.085555555 51.398333333)","http://commons.wikimedia.org/wiki/Special:FilePath/Selhurst%20Park%20Stadium.jpg","Crystal Palace F.C.","Selhurst Park",NA
"http://www.wikidata.org/entity/Q19509","31127","Point(-1.712833 48.107444)","http://commons.wikimedia.org/wiki/Special:FilePath/Staderennais-routelorient.JPG","Stade Rennais F.C.","Roazhon Park",NA
"http://www.wikidata.org/entity/Q29112","45000","Point(37.435556 55.8175)","http://commons.wikimedia.org/wiki/Special:FilePath/Spartak%20stadium%20%28Otkrytiye%20Arena%29%2C%2023%20August%202014.JPG","Spartak Moscow","Otkrytie Arena","fcsm_official"
"http://www.wikidata.org/entity/Q29112","45360","Point(37.435556 55.8175)","http://commons.wikimedia.org/wiki/Special:FilePath/Spartak%20stadium%20%28Otkrytiye%20Arena%29%2C%2023%20August%202014.JPG","Spartak Moscow","Otkrytie Arena","fcsm_official"
"http://www.wikidata.org/entity/Q19598","20229","Point(-1.137222 52.9425)","http://commons.wikimedia.org/wiki/Special:FilePath/ViewFromKop.jpg","Notts County F.C.","Meadow Lane",NA
"http://www.wikidata.org/entity/Q8749","32","Point(-8.740328 42.211861)","http://commons.wikimedia.org/wiki/Special:FilePath/Grada%20R%C3%ADo.JPG","Celta Vigo","Balaídos","rccelta_oficial"
"http://www.wikidata.org/entity/Q19589","15231","Point(-1.113889 53.509722)","http://commons.wikimedia.org/wiki/Special:FilePath/Keepmoat%20Stadium%20Doncaster.jpg","Doncaster Rovers","Keepmoat Stadium",NA
"http://www.wikidata.org/entity/Q188430","38065","Point(12.572203 55.702469)","http://commons.wikimedia.org/wiki/Special:FilePath/Parken%201.jpg","F.C. Copenhagen","Parken Stadium",NA
"http://www.wikidata.org/entity/Q193481","19416","Point(14.416122 50.099716)","http://commons.wikimedia.org/wiki/Special:FilePath/Generali%20Arena-AC%20Sparta%20Praha.jpg","AC Sparta Prague","Generali Arena",NA
"http://www.wikidata.org/entity/Q193481","19784","Point(14.416122 50.099716)","http://commons.wikimedia.org/wiki/Special:FilePath/Generali%20Arena-AC%20Sparta%20Praha.jpg","AC Sparta Prague","Generali Arena",NA
"http://www.wikidata.org/entity/Q194393","20800","Point(14.471389 50.066944)","http://commons.wikimedia.org/wiki/Special:FilePath/Synot%20Tip%20Arena%20-%20Viktoria%20Plzen%20-%20FC%20Barcelona%200-4.jpg","SK Slavia Prague","Eden Arena",NA
"http://www.wikidata.org/entity/Q495299","52652","Point(28.990417 41.102861)","http://commons.wikimedia.org/wiki/Special:FilePath/Turktelekomarena%20tr-aze.jpg","Galatasaray S.K.","Türk Telekom Arena","GalatasaraySK"
"http://www.wikidata.org/entity/Q131603","66000","Point(11.624752777 48.218775)","http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%BCnchen%20-%20Allianz-Arena%20%28Luftbild%29.jpg","TSV 1860 München","Allianz Arena",NA
